     1   0 -1.900000E+00 -1.460000E+00 3.480000E+00 -8.180000E-01 2.590000E+00  5.700729E+09
     1   1 -1.943684E+00 -1.208013E+00 3.467678E+00 -7.987217E-01 2.773775E+00  5.623145E+09
     1   2 -1.783889E+00 -1.190636E+00 3.143121E+00 -9.814226E-01 2.958333E+00  5.310317E+09
     1   3 -1.952992E-01 -9.896472E-01 3.270565E+00 -7.844294E-01 2.993521E+00  7.344209E+09
     1   4 -1.413295E+00 -1.157983E+00 3.140857E+00 -6.886534E-01 2.727969E+00  5.942576E+09
     1   5 -1.295052E-01 -1.614868E+00 3.223800E+00 -9.350558E-01 2.764906E+00  7.311805E+09
     1   6 -1.599327E+00 -1.307651E+00 3.238175E+00 -9.876317E-01 2.857691E+00  5.796327E+09
     1   7 -1.189973E+00 -1.334791E+00 3.410300E+00 -9.873950E-01 2.696622E+00  6.635797E+09
     1   8 -1.918059E+00 -1.467943E+00 3.255457E+00 -5.778848E-01 2.993228E+00  5.252379E+09
     1   9 -2.096880E+00 -1.498428E+00 3.262727E+00 -7.179485E-01 2.894139E+00  4.918741E+09
     1  10 -2.070259E+00 -1.361445E+00 3.159374E+00 -5.999041E-01 2.701825E+00  4.770896E+09
     1  11 -1.297461E+00 -1.276969E+00 3.198802E+00 -5.885439E-01 2.874142E+00  6.199711E+09
     1  12 -1.019133E+00 -1.576970E+00 3.477077E+00 -6.146260E-01 2.752437E+00  6.891033E+09
     1  13 -9.665746E-01 -1.760370E+00 3.164355E+00 -6.497882E-01 2.762054E+00  6.556798E+09
     1  14 -8.076235E-01 -1.346623E+00 3.379830E+00 -7.235731E-01 2.921123E+00  6.994320E+09
     1  15 -1.342018E+00 -1.193559E+00 3.288838E+00 -6.004488E-01 2.604319E+00  6.280613E+09
     1  16 -8.537067E-01 -1.521807E+00 3.372758E+00 -7.510731E-01 2.868422E+00  6.937984E+09
     1  17 -1.985345E+00 -1.400287E+00 3.181130E+00 -8.969385E-01 2.768275E+00  4.979878E+09
     1  18 -1.226016E+00 -1.237875E+00 3.376113E+00 -8.625050E-01 2.683247E+00  6.553762E+09
     1  19 -1.323261E+00 -1.605008E+00 3.408288E+00 -7.132084E-01 2.872540E+00  6.456667E+09
     1  20 -6.745473E-01 -1.830069E+00 3.153270E+00 -5.964164E-01 2.970557E+00  6.849276E+09
     1  21 -1.109861E+00 -1.434149E+00 3.366183E+00 -6.891726E-01 2.717538E+00  6.667425E+09
     1  22 -1.806681E+00 -1.106574E+00 3.464543E+00 -6.769171E-01 2.928863E+00  5.863887E+09
     1  23 -9.181304E-01 -1.228517E+00 3.163994E+00 -8.451386E-01 2.651141E+00  6.634726E+09
     1  24 -3.683386E-01 -1.763946E+00 3.160916E+00 -7.427770E-01 2.778974E+00  7.105963E+09
     1  25 -1.766829E+00 -9.345285E-01 3.275337E+00 -5.697222E-01 2.794391E+00  5.624862E+09
     1  26 -2.061828E-01 -1.560445E+00 3.477388E+00 -8.505236E-01 2.953886E+00  7.467678E+09
     1  27 -8.172655E-01 -1.308422E+00 3.132993E+00 -9.121647E-01 2.587685E+00  6.698271E+09
     1  28 -5.585691E-01 -9.668391E-01 3.454161E+00 -9.696068E-01 2.653789E+00  7.277615E+09
     1  29 -1.167092E+00 -1.816795E+00 3.396974E+00 -8.615693E-01 2.809559E+00  6.629020E+09
     1  30 -2.140943E+00 -1.751460E+00 3.401611E+00 -8.992790E-01 2.600189E+00  5.096269E+09
     1  31 -8.505561E-01 -9.452001E-01 3.127476E+00 -6.582605E-01 2.810719E+00  6.690129E+09
     1  32 -1.790321E+00 -1.302791E+00 3.196583E+00 -8.353292E-01 2.722725E+00  5.387045E+09
     1  33 -1.008240E+00 -1.844256E+00 3.429293E+00 -7.152986E-01 2.843037E+00  6.842540E+09
     1  34 -4.980843E-01 -1.270098E+00 3.333463E+00 -9.603685E-01 2.941268E+00  7.196948E+09
     1  35 -3.602205E-01 -1.756752E+00 3.304137E+00 -6.951545E-01 2.894509E+00  7.248231E+09
     1  36 -2.148459E+00 -1.423221E+00 3.130672E+00 -7.158714E-01 2.892414E+00  4.551169E+09
     1  37 -1.370970E+00 -1.406666E+00 3.439906E+00 -7.145454E-01 2.764766E+00  6.446647E+09
     1  38 -1.852499E-01 -1.780180E+00 3.158870E+00 -8.618682E-01 2.873556E+00  7.219754E+09
     1  39 -1.155086E+00 -1.172880E+00 3.373864E+00 -7.130644E-01 2.856253E+00  6.641381E+09
     1  40 -1.652074E+00 -1.513152E+00 3.341896E+00 -7.397440E-01 2.830386E+00  5.874908E+09
     1  41 -1.000552E+00 -1.053816E+00 3.496101E+00 -6.666941E-01 2.821281E+00  6.957185E+09
     1  42 -1.204446E+00 -1.269095E+00 3.236842E+00 -5.663506E-01 2.984680E+00  6.385851E+09
     1  43 -4.588147E-01 -1.019148E+00 3.350717E+00 -6.708571E-01 2.815773E+00  7.253158E+09
     1  44 -1.201244E+00 -9.130686E-01 3.430512E+00 -6.117476E-01 2.693368E+00  6.686877E+09
     1  45 -1.526450E-01 -1.658786E+00 3.124898E+00 -8.528606E-01 2.613995E+00  7.206482E+09
     1  46 -2.911477E-01 -9.695823E-01 3.444611E+00 -9.408358E-01 2.885865E+00  7.425937E+09
     1  47 -1.351456E+00 -1.274863E+00 3.282182E+00 -7.978384E-01 2.794877E+00  6.251166E+09
     1  48 -1.956274E+00 -1.354203E+00 3.334092E+00 -8.629946E-01 2.640524E+00  5.337932E+09
     1  49 -9.056943E-01 -1.608306E+00 3.322842E+00 -9.347427E-01 2.829931E+00  6.828435E+09
     1  50 -1.236977E+00 -1.254501E+00 3.144187E+00 -8.202575E-01 2.699405E+00  6.201099E+09
     1  51 -1.862736E+00 -1.260608E+00 3.431778E+00 -8.837776E-01 2.715637E+00  5.694667E+09
     1  52 -4.452737E-01 -1.688286E+00 3.462978E+00 -6.191731E-01 2.579924E+00  7.327713E+09
