 -.112933E+01 -.187048E+01 0.264506E+01 0.206431E+01 -.130249E+01 -.150356E+01 0.400357E+03
 -.106268E+01 -.190196E+01 0.252500E+01 0.197919E+01 -.128641E+01 -.139847E+01 0.368536E+03
 -.110709E+01 -.193179E+01 0.263673E+01 0.201421E+01 -.125566E+01 -.143643E+01 0.400078E+03
 -.107518E+01 -.190077E+01 0.246590E+01 0.199290E+01 -.141971E+01 -.141649E+01 0.380788E+03
 -.975457E+00 -.188311E+01 0.246417E+01 0.202076E+01 -.132666E+01 -.135029E+01 0.379430E+03
 -.134278E+01 -.201395E+01 0.270864E+01 0.196992E+01 -.131637E+01 -.155275E+01 0.400148E+03
 -.105267E+01 -.193950E+01 0.252500E+01 0.201136E+01 -.130272E+01 -.137346E+01 0.345567E+03
 -.109053E+01 -.187271E+01 0.253010E+01 0.199504E+01 -.130707E+01 -.136938E+01 0.344159E+03
 -.112537E+01 -.186700E+01 0.251821E+01 0.200840E+01 -.164636E+01 -.153718E+01 0.372567E+03
 -.112850E+01 -.183817E+01 0.252899E+01 0.195885E+01 -.130690E+01 -.136278E+01 0.400213E+03
 -.108573E+01 -.193662E+01 0.253076E+01 0.204322E+01 -.130715E+01 -.142158E+01 0.386003E+03
 -.108138E+01 -.194909E+01 0.252500E+01 0.200103E+01 -.126446E+01 -.132472E+01 0.366297E+03
 -.103083E+01 -.189813E+01 0.250923E+01 0.199293E+01 -.129087E+01 -.134615E+01 0.357289E+03
 -.109791E+01 -.209055E+01 0.253884E+01 0.204425E+01 -.141418E+01 -.147237E+01 0.398123E+03
 -.109094E+01 -.190303E+01 0.253846E+01 0.202371E+01 -.140319E+01 -.136605E+01 0.329271E+03
 -.107329E+01 -.190551E+01 0.253769E+01 0.201261E+01 -.126953E+01 -.136409E+01 0.350728E+03
 -.112554E+01 -.193198E+01 0.252720E+01 0.197880E+01 -.155641E+01 -.139419E+01 0.391540E+03
 -.109445E+01 -.194000E+01 0.253855E+01 0.203256E+01 -.140256E+01 -.131913E+01 0.380992E+03
 -.113262E+01 -.196081E+01 0.257598E+01 0.205039E+01 -.141577E+01 -.158618E+01 0.364550E+03
 -.102564E+01 -.191278E+01 0.253873E+01 0.198920E+01 -.135132E+01 -.142701E+01 0.398075E+03
 -.110524E+01 -.190569E+01 0.250409E+01 0.205104E+01 -.146246E+01 -.135976E+01 0.384324E+03
 -.109518E+01 -.194928E+01 0.253812E+01 0.202083E+01 -.140250E+01 -.137497E+01 0.326991E+03
 -.113960E+01 -.193287E+01 0.253169E+01 0.200885E+01 -.145268E+01 -.134717E+01 0.380474E+03
 -.109541E+01 -.183017E+01 0.255266E+01 0.202341E+01 -.150159E+01 -.139926E+01 0.376717E+03
 -.109358E+01 -.202588E+01 0.253807E+01 0.202069E+01 -.140250E+01 -.135762E+01 0.361039E+03
 -.109238E+01 -.187372E+01 0.253836E+01 0.201821E+01 -.140337E+01 -.138187E+01 0.326081E+03
 -.104159E+01 -.194910E+01 0.253740E+01 0.200534E+01 -.121671E+01 -.132822E+01 0.382069E+03
 -.109197E+01 -.185986E+01 0.253829E+01 0.202015E+01 -.140294E+01 -.140801E+01 0.324968E+03
 -.109251E+01 -.195979E+01 0.253802E+01 0.202364E+01 -.140194E+01 -.141255E+01 0.320777E+03
 -.110016E+01 -.190242E+01 0.252554E+01 0.198513E+01 -.135065E+01 -.140707E+01 0.338478E+03
 -.116626E+01 -.198189E+01 0.254808E+01 0.202055E+01 -.164548E+01 -.152588E+01 0.383288E+03
 -.114665E+01 -.188324E+01 0.253945E+01 0.198794E+01 -.137219E+01 -.136480E+01 0.361637E+03
 -.105218E+01 -.184184E+01 0.253544E+01 0.204237E+01 -.140082E+01 -.143893E+01 0.357790E+03
 -.102181E+01 -.189728E+01 0.253484E+01 0.202520E+01 -.140895E+01 -.149017E+01 0.388038E+03
 -.109296E+01 -.204503E+01 0.253778E+01 0.202662E+01 -.140109E+01 -.141642E+01 0.353622E+03
 -.108665E+01 -.190653E+01 0.249132E+01 0.198425E+01 -.130435E+01 -.134102E+01 0.388869E+03
 -.109295E+01 -.200664E+01 0.253786E+01 0.202369E+01 -.140125E+01 -.141192E+01 0.335550E+03
