     1   1  -.297074E+01  -.101540E+01  0.337547E+01  0.247728E+01  -.211876E+01  -.262992E+01  0.198111E+06
     1   2  -.294386E+01  -.197507E+01  0.246301E+01  0.137971E+01  -.108351E+01  -.232918E+01  0.145201E+05
     1   3  -.335850E+01  -.195365E+01  0.208044E+01  0.234712E+01  -.115271E+01  -.645730E+00  0.851958E+04
     1   4  -.322668E+01  -.195631E+01  0.309674E+01  0.101039E+01  -.181658E+01  -.962067E+00  0.144325E+06
     1   5  -.177269E+01  -.180155E+01  0.212412E+01  0.226175E+01  -.216562E+01  -.162603E+01  0.521058E+04
     1   6  -.296606E+01  -.109634E+01  0.199472E+01  0.699775E+00  -.156477E+01  -.102308E+01  0.341632E+05
     1   7  -.159970E+01  -.161700E+01  0.176852E+01  0.405879E+00  -.199735E+01  -.263113E+01  0.218179E+05
     1   8  -.131130E+01  -.213823E+01  0.263287E+01  0.235472E+01  -.158932E+00  -.143999E+01  0.638718E+04
     1   9  -.170805E+01  -.142808E+01  0.249424E+01  0.139770E+01  -.169280E+00  -.118527E+01  0.146151E+05
     1  10  -.229961E+01  -.206619E+01  0.229073E+01  0.770128E-01  -.114456E+01  -.300462E+00  0.202921E+05
     1  11  -.263519E+01  -.154991E+01  0.308653E+01  0.205162E+00  -.215028E+01  -.120324E+01  0.956155E+05
     1  12  -.175332E+01  -.100782E+01  0.269458E+01  0.328318E+00  -.148875E+00  -.214034E+01  0.373740E+05
     1  13  -.140655E+01  -.238260E+01  0.217769E+01  0.193280E+01  -.152840E+01  0.200435E+00  0.530649E+04
     1  14  -.230175E+01  -.157972E+01  0.182484E+01  0.120238E+01  -.195863E+01  -.118629E+01  0.166273E+05
     1  15  -.295358E+01  -.139195E+01  0.251616E+01  0.519538E+00  -.115792E+01  -.185966E+01  0.211379E+05
     1  16  -.217406E+01  -.181409E+01  0.295113E+01  0.319780E+00  -.195101E+01  -.207621E+01  0.468581E+05
     1  17  -.312124E+01  -.142461E+01  0.328169E+01  0.271137E+00  -.144846E+01  -.137849E+01  0.131229E+06
     1  18  -.937424E+00  -.128039E+01  0.272670E+01  0.197870E+00  -.106259E+01  -.194032E+01  0.714094E+05
     1  19  -.209145E+01  -.120462E+01  0.235640E+01  0.109855E+01  -.203269E+01  0.374601E+00  0.285156E+05
     1  20  -.324400E+01  -.177482E+01  0.282572E+01  0.113561E+01  -.144310E+01  -.111470E+01  0.263020E+05
     1  21  -.112156E+01  -.236480E+01  0.238172E+01  0.202203E+01  -.388576E+00  0.257877E-01  0.154545E+07
     1  22  -.180487E+01  -.137329E+01  0.185260E+01  0.177619E+01  -.851590E+00  -.180067E+01  0.140842E+05
     1  23  -.314560E+01  -.117547E+01  0.184835E+01  0.118983E+01  -.195139E+01  0.346086E+00  0.267771E+05
     1  24  -.254608E+01  -.231995E+01  0.283388E+01  0.136732E+01  -.159335E+01  -.940950E+00  0.392446E+05
     1  25  -.242829E+01  -.102417E+01  0.251328E+01  0.322186E+00  -.601426E+00  -.964497E+00  0.391262E+05
     1  26  -.219699E+01  -.170210E+01  0.270315E+01  0.135408E+01  -.128170E+01  -.110317E+01  0.141837E+05
     1  27  -.261016E+01  -.120015E+01  0.258677E+01  0.113408E+01  -.110692E+01  -.221866E+01  0.229375E+05
     1  28  -.150733E+01  -.169325E+01  0.217145E+01  0.236860E+01  -.140868E+00  0.984343E-01  0.859183E+04
     1  29  -.246563E+01  -.160076E+01  0.264055E+01  0.128652E+00  -.340497E+00  -.814937E+00  0.199691E+05
     1  30  -.186512E+01  -.178975E+01  0.236126E+01  0.351009E+00  -.163269E+01  -.881417E+00  0.274170E+05
     1  31  -.249051E+01  -.229101E+01  0.196519E+01  0.163639E+01  -.136560E+01  -.341125E-01  0.121995E+05
     1  32  -.224412E+01  -.107213E+01  0.180457E+01  0.183916E+01  -.216024E+01  -.321909E+00  0.266618E+05
     1  33  -.168934E+01  -.185582E+01  0.239688E+01  0.139853E+01  -.736534E+00  -.250349E+01  0.953144E+04
     1  34  -.303908E+01  -.228218E+01  0.221614E+01  0.496597E+00  -.746629E+00  0.220979E+00  0.212567E+05
     1  35  -.161543E+01  -.172315E+01  0.221085E+01  0.930247E+00  -.113177E+01  -.119844E+00  0.314547E+05
     1  36  -.289330E+01  -.221303E+01  0.292499E+01  0.896099E+00  -.591254E+00  -.780402E+00  0.167251E+05
