 -.314000E+01 -.163000E+01 0.321000E+01 -.954000E+00 -.627744E+67 0.211000E+01
 -.241676E+01 -.199678E+01 0.307453E+01 -.912141E+00 -.627744E+67 0.166124E+01
 -.106090E+01 -.113841E+01 0.339914E+01 -.907208E+00 -.627744E+67 0.221487E+00
 -.292649E+01 -.135345E+01 0.338765E+01 -.854926E+00 -.627744E+67 0.143576E+01
 -.155199E+01 -.178626E+01 0.290392E+01 -.500687E+00 -.627744E+67 0.214281E+01
 -.328040E+00 -.224318E+01 0.334669E+01 -.705707E+00 -.627744E+67 0.127552E+01
 -.206762E+01 -.121721E+01 0.291715E+01 -.573890E+00 -.627744E+67 0.812187E+00
 -.295783E+01 -.231633E+01 0.334093E+01 -.783882E+00 -.627744E+67 0.100838E+01
 -.127717E+01 -.215499E+01 0.296224E+01 -.792478E+00 -.627744E+67 0.242340E+01
 -.203994E+01 -.102286E+01 0.326318E+01 -.530760E+00 -.627744E+67 0.202534E+01
 -.259011E+00 -.134903E+01 0.338096E+01 -.802926E+00 -.627744E+67 0.166754E+01
 -.160526E+01 -.184092E+01 0.301323E+01 -.831252E+00 -.627744E+67 0.110372E+01
 -.180087E+01 -.138013E+01 0.327813E+01 -.924986E+00 -.627744E+67 0.130691E+01
 -.672035E+00 -.187039E+01 0.296864E+01 -.719801E+00 -.627744E+67 0.206326E+00
 -.943265E+00 -.236428E+01 0.349612E+01 -.694103E+00 -.627744E+67 0.204114E+01
 -.912543E+00 -.173134E+01 0.302725E+01 -.755239E+00 -.627744E+67 0.210957E+01
 -.614536E+00 -.194183E+01 0.328414E+01 -.642105E+00 -.627744E+67 0.593640E+00
 -.112762E+01 -.103408E+01 0.335656E+01 -.811394E+00 -.627744E+67 0.237400E+01
 -.542811E+00 -.152406E+01 0.295934E+01 -.621877E+00 -.627744E+67 0.596283E-01
 -.328761E+01 -.175444E+01 0.324032E+01 -.719879E+00 -.627744E+67 0.375087E+00
 -.336359E+01 -.237727E+01 0.291127E+01 -.610485E+00 -.627744E+67 0.159466E+01
 -.189173E+01 -.134198E+01 0.319162E+01 -.520743E+00 -.627744E+67 0.167522E+01
 -.142281E+01 -.216865E+01 0.341896E+01 -.915432E+00 -.627744E+67 0.220985E+01
 -.336571E+01 -.107686E+01 0.348159E+01 -.838013E+00 -.627744E+67 0.313098E+00
 -.117052E+01 -.128869E+01 0.326657E+01 -.775724E+00 -.627744E+67 0.460265E+00
 -.613183E+00 -.195517E+01 0.336096E+01 -.924610E+00 -.627744E+67 0.182228E+01
 -.401352E+00 -.210522E+01 0.344991E+01 -.954096E+00 -.627744E+67 0.238587E+01
 -.332341E+01 -.137891E+01 0.312155E+01 -.500190E+00 -.627744E+67 0.133690E+01
 -.233152E+01 -.156568E+01 0.300303E+01 -.773807E+00 -.627744E+67 0.614728E+00
 -.152909E+01 -.121497E+01 0.317711E+01 -.590729E+00 -.627744E+67 0.112509E+01
 -.134280E+01 -.174703E+01 0.342750E+01 -.941872E+00 -.627744E+67 0.148955E+01
 -.270578E+01 -.161712E+01 0.302566E+01 -.680636E+00 -.627744E+67 0.565765E+00
 -.108457E+01 -.188137E+01 0.307618E+01 -.598128E+00 -.627744E+67 0.138685E+01
 -.322431E+01 -.130539E+01 0.320937E+01 -.751513E+00 -.627744E+67 0.294672E+00
 -.188205E+01 -.172148E+01 0.296611E+01 -.923867E+00 -.627744E+67 0.203511E+01
 -.293953E+01 -.210473E+01 0.331245E+01 -.974215E+00 -.627744E+67 0.183075E+01
 -.198281E+01 -.166608E+01 0.302485E+01 -.947805E+00 -.627744E+67 0.182921E+01
 -.169539E+01 -.219828E+01 0.290531E+01 -.924234E+00 -.627744E+67 0.170815E+01
 -.578579E+00 -.163151E+01 0.324948E+01 -.641140E+00 -.627744E+67 0.492017E+00
 -.514161E+00 -.145919E+01 0.348748E+01 -.865414E+00 -.627744E+67 0.388327E-01
 -.654479E+00 -.157034E+01 0.323030E+01 -.843892E+00 -.627744E+67 0.462129E-01
 -.254163E+01 -.130396E+01 0.332928E+01 -.621968E+00 -.627744E+67 0.175557E+01
 -.123835E+01 -.169151E+01 0.292878E+01 -.894647E+00 -.627744E+67 0.235820E+01
 -.603225E+00 -.104352E+01 0.324674E+01 -.751726E+00 -.627744E+67 0.176031E+01
