 -.197074E+01 -.191540E+01 0.257547E+01 0.207728E+01 -.121876E+01
 -.169098E+01 -.118836E+01 0.246035E+01 0.963707E+00 -.113662E+01
 -.337046E+01 -.228411E+01 0.328187E+01 0.553991E+00 -.589656E+00
 -.164552E+01 -.127942E+01 0.283418E+01 0.164227E+01 -.290467E+00
 -.331215E+01 -.199570E+01 0.273563E+01 0.101547E+01 -.218222E+01
 -.944054E+00 -.182813E+01 0.202468E+01 0.134531E+01 -.900497E+00
 -.199923E+01 -.149819E+01 0.226324E+01 0.110884E+01 -.103178E+01
 -.337499E+01 -.165997E+01 0.232184E+01 0.123061E+01 -.105811E+01
 -.186493E+01 -.205620E+01 0.187739E+01 0.208266E+01 -.116327E+01
 -.255061E+01 -.116547E+01 0.260188E+01 0.185279E+01 -.366626E+00
 -.325785E+01 -.224935E+01 0.318084E+01 0.682827E+00 -.159051E+01
 -.135738E+01 -.221198E+01 0.195595E+01 0.152156E+01 -.764271E+00
 -.324986E+01 -.194079E+01 0.287595E+01 0.871351E+00 -.149547E+01
 -.302395E+01 -.206540E+01 0.288104E+01 0.190007E+01 -.931913E+00
 -.179583E+01 -.228111E+01 0.284983E+01 0.949978E+00 -.443453E+00
 -.953826E+00 -.181147E+01 0.207915E+01 0.123767E+01 -.302433E+00
 -.331078E+01 -.176956E+01 0.178123E+01 0.122173E+01 -.576545E+00
 -.326368E+01 -.121622E+01 0.306984E+01 0.220886E+01 -.309403E+00
 -.160663E+01 -.233195E+01 0.285858E+01 0.648049E+00 -.312593E+00
 -.149634E+01 -.174988E+01 0.325306E+01 0.135066E+00 -.113220E+01
 -.219710E+01 -.209635E+01 0.272949E+01 0.108820E+01 -.650169E+00
 -.158670E+01 -.104353E+01 0.200362E+01 0.399861E+00 -.166451E+01
 -.200052E+01 -.216897E+01 0.266866E+01 0.247295E+00 -.109647E+00
 -.141114E+01 -.117446E+01 0.287921E+01 0.534421E+00 -.386462E+00
 -.117417E+01 -.223947E+01 0.317211E+01 0.801147E+00 -.432073E+00
 -.844075E+00 -.173812E+01 0.286100E+01 0.219677E+01 -.210739E+01
 -.223927E+01 -.234414E+01 0.180732E+01 0.359674E+00 -.143438E+01
 -.811287E+00 -.223808E+01 0.319423E+01 0.237845E+01 -.126914E+01
 -.213453E+01 -.218814E+01 0.194651E+01 0.944214E+00 -.140082E+00
 -.234685E+01 -.221887E+01 0.261532E+01 0.228272E+01 -.384969E+00
 -.244112E+01 -.103042E+01 0.230655E+01 0.147141E+01 -.139981E+01
 -.261732E+01 -.153188E+01 0.320019E+01 0.192855E+01 -.323676E+00
 -.335049E+01 -.104563E+01 0.274759E+01 0.215397E+01 -.121671E+01
 -.102244E+01 -.122084E+01 0.193633E+01 0.358870E+00 -.155618E+01
 -.269047E+01 -.137501E+01 0.235692E+01 0.208190E+01 -.180620E+01
 -.266600E+01 -.219872E+01 0.249248E+01 0.199591E+01 -.291096E+00
 -.940158E+00 -.159603E+01 0.287487E+01 0.107041E+01 -.129188E+01
 -.235598E+01 -.139454E+01 0.211306E+01 0.256237E+00 -.176684E+01
 -.969986E+00 -.116793E+01 0.221561E+01 0.533266E+00 -.123511E+01
 -.329210E+01 -.169357E+01 0.234748E+01 0.193908E+01 -.384474E+00
 -.268697E+01 -.210801E+01 0.279995E+01 0.155245E+01 -.164122E+01
 -.132244E+01 -.223811E+01 0.292731E+01 0.152627E+01 -.323477E+00
 -.190051E+01 -.111058E+01 0.269572E+01 0.318596E+00 -.748475E+00
 -.291158E+01 -.217212E+01 0.220776E+01 0.200136E+01 -.188053E+01
 -.275745E+01 -.151580E+01 0.325723E+01 0.156157E+01 -.183375E+01
 -.298843E+01 -.100684E+01 0.285260E+01 0.223854E+01 -.191158E+01
 -.129690E+01 -.132747E+01 0.230222E+01 0.329763E+00 -.755460E+00
 -.115375E+01 -.159629E+01 0.329269E+01 0.190985E+01 -.125490E+01
 -.194301E+01 -.204483E+01 0.319909E+01 0.188637E+01 -.147382E+01
 -.202172E+01 -.203258E+01 0.273154E+01 0.673459E+00 -.339704E+00
 -.127042E+01 -.136816E+01 0.224657E+01 0.240000E+01 -.197438E+01
 -.233383E+01 -.132105E+01 0.204310E+01 0.216371E+01 -.196493E+01
 -.207046E+01 -.167377E+01 0.294142E+01 0.997004E+00 -.400926E+00
 -.220115E+01 -.172262E+01 0.240282E+01 0.240000E+01 -.100000E+00
 -.201215E+01 -.240000E+01 0.318658E+01 0.863225E+00 -.113222E+01
 -.140196E+01 -.145482E+01 0.182026E+01 0.977231E+00 -.695344E+00
 -.209249E+01 -.134087E+01 0.297449E+01 0.230884E+01 -.209917E+00
 -.302061E+01 -.175997E+01 0.237608E+01 0.176616E+01 -.109088E+01
 -.147593E+01 -.240000E+01 0.209651E+01 0.195800E+01 -.145115E+01
 -.226584E+01 -.112645E+01 0.299800E+01 0.105472E+01 -.126462E+01
 -.340000E+01 -.236492E+01 0.293976E+01 0.188283E+01 -.577680E+00
 -.800000E+00 -.151198E+01 0.273095E+01 0.573933E+00 -.515829E+00
 -.253729E+01 -.213011E+01 0.210095E+01 0.205924E+01 -.107613E+01
 -.172395E+01 -.174157E+01 0.243637E+01 0.240000E+01 -.107456E+01
 -.154519E+01 -.234716E+01 0.299632E+01 0.214998E+01 -.110749E+01
 -.219191E+01 -.226786E+01 0.217806E+01 0.121413E+01 -.608791E+00
 -.228593E+01 -.231559E+01 0.213676E+01 0.230603E+01 -.162655E+01
 -.196368E+01 -.136307E+01 0.235217E+01 0.240000E+01 -.127071E+01
 -.212203E+01 -.217109E+01 0.214858E+01 0.184805E+01 -.862270E+00
 -.800000E+00 -.166299E+01 0.247806E+01 0.133507E+01 -.952555E+00
 -.138750E+01 -.160357E+01 0.322531E+01 0.228820E+01 -.573780E+00
 -.245908E+01 -.174353E+01 0.254003E+01 0.902082E+00 -.614510E+00
 -.211135E+01 -.203218E+01 0.258931E+01 0.144730E+01 -.115965E+01
 -.122646E+01 -.133994E+01 0.290034E+01 0.173442E+01 -.952843E+00
 -.247417E+01 -.153947E+01 0.286656E+01 0.793963E+00 -.518592E+00
 -.134413E+01 -.231898E+01 0.252176E+01 0.219113E+01 -.105739E+01
 -.111868E+01 -.240000E+01 0.231722E+01 0.861278E+00 -.714606E+00
 -.200183E+01 -.159981E+01 0.241923E+01 0.209108E+01 -.398934E+00
 -.222793E+01 -.181200E+01 0.272151E+01 0.214421E+01 -.907181E+00
 -.223616E+01 -.230981E+01 0.216613E+01 0.150165E+01 -.211041E+00
 -.238624E+01 -.173042E+01 0.236417E+01 0.146082E+01 -.172891E+01
 -.311240E+01 -.223188E+01 0.310567E+01 0.240000E+01 -.115650E+01
 -.233663E+01 -.157986E+01 0.275587E+01 0.221105E+01 -.215203E+01
 -.232244E+01 -.185337E+01 0.246733E+01 0.155887E+01 -.569017E+00
 -.147299E+01 -.207501E+01 0.196576E+01 0.128588E+01 -.756200E+00
 -.320425E+01 -.149872E+01 0.308810E+01 0.218110E+01 -.134110E+01
 -.121771E+01 -.163430E+01 0.218340E+01 0.611548E+00 -.189059E+01
 -.320680E+01 -.127676E+01 0.281748E+01 0.145624E+01 -.134116E+01
 -.220905E+01 -.100000E+01 0.192517E+01 0.844836E+00 -.197812E+01
 -.238257E+01 -.233025E+01 0.196339E+01 0.220919E+01 -.133183E+01
 -.307795E+01 -.185357E+01 0.207421E+01 0.156973E+01 -.180362E+01
 -.179216E+01 -.178175E+01 0.269150E+01 0.240000E+01 -.137348E+01
 -.259165E+01 -.181058E+01 0.213135E+01 0.151860E+01 -.179848E+01
 -.161158E+01 -.222133E+01 0.298276E+01 0.127528E+01 -.120804E+01
 -.291377E+01 -.199456E+01 0.330000E+01 0.231797E+01 -.124938E+01
 -.257834E+01 -.170684E+01 0.268392E+01 0.233333E+01 -.861579E+00
 -.130532E+01 -.202747E+01 0.230590E+01 0.152976E+01 -.132915E+01
 -.197823E+01 -.208115E+01 0.251769E+01 0.240000E+01 -.155040E+01
 -.302509E+01 -.138092E+01 0.242409E+01 0.214684E+01 -.199055E+01
 -.135490E+01 -.212534E+01 0.269832E+01 0.175559E+01 -.138970E+01
 -.249463E+01 -.177830E+01 0.246213E+01 0.177869E+01 -.200881E+01
 -.274439E+01 -.202105E+01 0.206767E+01 0.240000E+01 -.187580E+01
 -.850019E+00 -.201319E+01 0.280677E+01 0.219700E+01 -.104805E+01
 -.257879E+01 -.239176E+01 0.204628E+01 0.136514E+01 -.959797E+00
 -.197030E+01 -.170000E+01 0.275151E+01 0.134141E+01 -.658237E+00
 -.210070E+01 -.125113E+01 0.231055E+01 0.787875E+00 -.825052E+00
 -.216790E+01 -.199033E+01 0.314063E+01 0.240000E+01 -.100000E+00
 -.283812E+01 -.181282E+01 0.235300E+01 0.165539E+01 -.125912E+01
