     1   1  -.197074E+01  -.191540E+01  0.257547E+01  0.207728E+01  -.121876E+01  -.162992E+01  0.196082E+03
     1   2  -.169098E+01  -.118836E+01  0.246035E+01  0.963707E+00  -.113662E+01  -.229840E+01  0.320553E+05
     1   3  -.337046E+01  -.228411E+01  0.328187E+01  0.553991E+00  -.589656E+00  -.163930E+01  0.417508E+04
     1   4  -.164552E+01  -.127942E+01  0.283418E+01  0.164227E+01  -.290467E+00  -.109680E+01  0.775216E+04
     1   5  -.331215E+01  -.199570E+01  0.273563E+01  0.101547E+01  -.218222E+01  -.208977E+01  0.339576E+05
     1   6  -.944054E+00  -.182813E+01  0.202468E+01  0.134531E+01  -.900497E+00  0.491216E+00  0.172200E+06
     1   7  -.199923E+01  -.149819E+01  0.226324E+01  0.110884E+01  -.103178E+01  -.811585E+00  0.103668E+05
     1   8  -.337499E+01  -.165997E+01  0.232184E+01  0.123061E+01  -.105811E+01  0.152227E+00  0.631251E+04
     1   9  -.186493E+01  -.205620E+01  0.187739E+01  0.208266E+01  -.116327E+01  -.381590E+00  0.589610E+04
     1  10  -.255061E+01  -.116547E+01  0.260188E+01  0.185279E+01  -.366626E+00  -.239598E+01  0.128321E+05
     1  11  -.325785E+01  -.224935E+01  0.318084E+01  0.682827E+00  -.159051E+01  0.317060E+00  0.142830E+07
     1  12  -.135738E+01  -.221198E+01  0.195595E+01  0.152156E+01  -.764271E+00  0.131190E+00  0.180333E+06
     1  13  -.324986E+01  -.194079E+01  0.287595E+01  0.871351E+00  -.149547E+01  -.139152E+01  0.289545E+05
     1  14  -.302395E+01  -.206540E+01  0.288104E+01  0.190007E+01  -.931913E+00  -.467836E+00  0.100257E+06
     1  15  -.179583E+01  -.228111E+01  0.284983E+01  0.949978E+00  -.443453E+00  -.268198E+01  0.136457E+05
     1  16  -.953826E+00  -.181147E+01  0.207915E+01  0.123767E+01  -.302433E+00  0.379356E+00  0.361402E+07
     1  17  -.331078E+01  -.176956E+01  0.178123E+01  0.122173E+01  -.576545E+00  -.120994E+01  0.358338E+04
     1  18  -.326368E+01  -.121622E+01  0.306984E+01  0.220886E+01  -.309403E+00  -.148084E+01  0.990378E+04
     1  19  -.160663E+01  -.233195E+01  0.285858E+01  0.648049E+00  -.312593E+00  -.156443E+01  0.275633E+05
     1  20  -.149634E+01  -.174988E+01  0.325306E+01  0.135066E+00  -.113220E+01  -.138124E+01  0.177811E+06
     1  21  -.219710E+01  -.209635E+01  0.272949E+01  0.108820E+01  -.650169E+00  0.873112E-01  0.110260E+08
     1  22  -.158670E+01  -.104353E+01  0.200362E+01  0.399861E+00  -.166451E+01  -.249128E+01  0.693106E+05
     1  23  -.200052E+01  -.216897E+01  0.266866E+01  0.247295E+00  -.109647E+00  -.115948E+01  0.747871E+04
     1  24  -.141114E+01  -.117446E+01  0.287921E+01  0.534421E+00  -.386462E+00  -.556826E+00  0.131822E+08
     1  25  -.117417E+01  -.223947E+01  0.317211E+01  0.801147E+00  -.432073E+00  -.234783E+01  0.870494E+05
     1  26  -.844075E+00  -.173812E+01  0.286100E+01  0.219677E+01  -.210739E+01  -.210326E+01  0.964076E+04
     1  27  -.223927E+01  -.234414E+01  0.180732E+01  0.359674E+00  -.143438E+01  -.763646E+00  0.788000E+04
     1  28  -.811287E+00  -.223808E+01  0.319423E+01  0.237845E+01  -.126914E+01  -.234527E+01  0.806545E+04
     1  29  -.213453E+01  -.218814E+01  0.194651E+01  0.944214E+00  -.140082E+00  -.854612E+00  0.359013E+04
     1  30  -.234685E+01  -.221887E+01  0.261532E+01  0.228272E+01  -.384969E+00  -.829606E+00  0.244526E+04
     1  31  -.244112E+01  -.103042E+01  0.230655E+01  0.147141E+01  -.139981E+01  -.184304E+01  0.224944E+05
     1  32  -.261732E+01  -.153188E+01  0.320019E+01  0.192855E+01  -.323676E+00  -.252338E+01  0.214138E+04
     1  33  -.335049E+01  -.104563E+01  0.274759E+01  0.215397E+01  -.121671E+01  -.184134E+01  0.229245E+05
     1  34  -.102244E+01  -.122084E+01  0.193633E+01  0.358870E+00  -.155618E+01  -.235004E+01  0.770635E+05
     1  35  -.269047E+01  -.137501E+01  0.235692E+01  0.208190E+01  -.180620E+01  -.701208E+00  0.116948E+05
     1  36  -.266600E+01  -.219872E+01  0.249248E+01  0.199591E+01  -.291096E+00  -.148865E+01  0.303874E+04
     1  37  -.940158E+00  -.159603E+01  0.287487E+01  0.107041E+01  -.129188E+01  -.132912E+01  0.937392E+05
     1  38  -.235598E+01  -.139454E+01  0.211306E+01  0.256237E+00  -.176684E+01  -.227106E+01  0.250535E+05
     1  39  -.969986E+00  -.116793E+01  0.221561E+01  0.533266E+00  -.123511E+01  -.239830E+01  0.876564E+05
     1  40  -.329210E+01  -.169357E+01  0.234748E+01  0.193908E+01  -.384474E+00  -.959669E+00  0.335847E+04
     1  41  -.268697E+01  -.210801E+01  0.279995E+01  0.155245E+01  -.164122E+01  -.128293E+01  0.290344E+05
