 -.288916E+01 -.170236E+01 0.295360E+01 -.697209E+00 -.627744E+67 0.194170E+01
 -.287833E+01 -.234068E+01 0.281276E+01 -.435958E+00 -.627744E+67 0.176264E+01
 -.310501E+01 -.216166E+01 0.298826E+01 -.133747E+00 -.627744E+67 0.224856E+01
 -.117713E+01 -.216477E+01 0.337803E+01 -.185303E+00 -.627744E+67 0.182172E+01
 -.101703E+01 -.155356E+01 0.302007E+01 -.457874E+00 -.627744E+67 0.191055E+01
 -.289245E+01 -.195312E+01 0.327559E+01 -.361081E+00 -.627744E+67 0.232545E+01
 -.142740E+01 -.208542E+01 0.333218E+01 -.726072E+00 -.627744E+67 0.237110E+01
 -.593048E+00 -.153863E+01 0.331967E+01 -.413038E+00 -.627744E+67 0.196456E+01
 -.298700E+01 -.162567E+01 0.335879E+01 -.347760E+00 -.627744E+67 0.214806E+01
 -.495904E+00 -.171642E+01 0.338700E+01 -.356485E+00 -.627744E+67 0.173975E+01
 -.327222E+01 -.209248E+01 0.333674E+01 -.641184E+00 -.627744E+67 0.209433E+01
 -.277627E+01 -.239512E+01 0.337576E+01 -.466723E+00 -.627744E+67 0.223664E+01
 -.224525E+01 -.158384E+01 0.304760E+01 -.421961E+00 -.627744E+67 0.229586E+01
 -.467503E+00 -.211312E+01 0.309325E+01 -.984016E+00 -.627744E+67 0.221237E+01
 -.209728E+01 -.162800E+01 0.292099E+01 -.258991E+00 -.627744E+67 0.171715E+01
 -.206363E+01 -.150466E+01 0.324572E+01 -.722534E+00 -.627744E+67 0.219697E+01
 -.259470E+01 -.234427E+01 0.323392E+01 -.411430E+00 -.627744E+67 0.179796E+01
 -.209520E+01 -.163254E+01 0.299517E+01 -.258015E+00 -.627744E+67 0.186158E+01
 -.148855E+01 -.167723E+01 0.335724E+01 -.461496E+00 -.627744E+67 0.213349E+01
 -.309689E+01 -.198877E+01 0.288210E+01 -.947279E+00 -.627744E+67 0.237278E+01
 -.277413E+01 -.166155E+01 0.300908E+01 -.664161E+00 -.627744E+67 0.236260E+01
 -.565795E+00 -.210798E+01 0.292264E+01 -.390803E+00 -.627744E+67 0.204734E+01
 -.666679E+00 -.153665E+01 0.326755E+01 -.281563E+00 -.627744E+67 0.218554E+01
